pipeline,category,slug,arch,variant,window_s,tasks,modality_dropped,cv_scheme,n_folds,n_seeds,exercise_f1_mean,exercise_f1_std,phase_f1_mean,phase_f1_std,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_mean,fatigue_pearson_std,reps_mae_mean,reps_mae_std,val_total_mean,val_total_std
v20_raw,multi-task,v20_mt-w5s-tcn_raw,tcn_raw,raw,5.0,all 4,none,LOSO 10-fold,10,3,0.26259752779940226,0.11741305932710022,0.2462048934192838,0.06537409392406711,1.0398868540696757,0.25710417307278494,0.22058946187709252,0.32579494148805277,0.5213626367532797,0.11238018614801296,0.9148937543233235,0.13518495784931386
v20_raw,single-task,v20_st-exercise-w1s-cnn1d_raw,cnn1d_raw,raw,1.0,exercise,none,LOSO 10-fold,10,3,0.3266682704406618,0.16935992713348974,,,,,,,,,0.6161531645203202,0.08770440186704241
v20_raw,single-task,v20_st-exercise-w1s-cnn_lstm_raw,cnn_lstm_raw,raw,1.0,exercise,none,LOSO 10-fold,10,3,0.31131608407183176,0.15957709321250502,,,,,,,,,0.5861852679481113,0.08571329465000378
v20_raw,single-task,v20_st-exercise-w1s-lstm_raw,lstm_raw,raw,1.0,exercise,none,LOSO 10-fold,10,3,0.3135402077275565,0.1296552488183174,,,,,,,,,0.5957268335216518,0.050055008941132115
v20_raw,single-task,v20_st-exercise-w1s-tcn_raw,tcn_raw,raw,1.0,exercise,none,LOSO 10-fold,10,3,0.3015630602623013,0.15316193772459832,,,,,,,,,0.5938967071030168,0.09329599408345783
v20_raw,single-task,v20_st-exercise-w2s-cnn1d_raw,cnn1d_raw,raw,2.0,exercise,none,LOSO 10-fold,10,3,0.3560526985209379,0.21457021129613646,,,,,,,,,0.5789711938847062,0.1390253732116931
v20_raw,single-task,v20_st-exercise-w2s-cnn_lstm_raw,cnn_lstm_raw,raw,2.0,exercise,none,LOSO 10-fold,10,3,0.4115991223600417,0.2338436158561793,,,,,,,,,0.5483773573457397,0.16095892814710525
v20_raw,single-task,v20_st-exercise-w2s-lstm_raw,lstm_raw,raw,2.0,exercise,none,LOSO 10-fold,10,3,0.35428684179563413,0.1539138542963986,,,,,,,,,0.5809590370366811,0.0737726802795925
v20_raw,single-task,v20_st-exercise-w2s-tcn_raw,tcn_raw,raw,2.0,exercise,none,LOSO 10-fold,10,3,0.37149353930765777,0.17063364879754306,,,,,,,,,0.573603371475746,0.10320293062135877
v20_raw,single-task,v20_st-exercise-w5s-cnn1d_raw,cnn1d_raw,raw,5.0,exercise,none,LOSO 10-fold,10,3,0.48570501152795365,0.2416828779096936,,,,,,,,,0.47775596628586453,0.229508483544516
